PRIME  | PREDICTED  | TRUE NEXT  | PRED GAP | TRUE GAP | DELTA (Error) | RESULT
==========================================================================================
23     | 25         | 29         | 2        | 6        | +4           | FAIL
29     | 31         | 31         | 2        | 2        | 0            | PASS
31     | 35         | 37         | 4        | 6        | +2           | FAIL
37     | 41         | 41         | 4        | 4        | 0            | PASS
41     | 43         | 43         | 2        | 2        | 0            | PASS
43     | 47         | 47         | 4        | 4        | 0            | PASS
47     | 49         | 53         | 2        | 6        | +4           | FAIL
53     | 55         | 59         | 2        | 6        | +4           | FAIL
59     | 61         | 61         | 2        | 2        | 0            | PASS
61     | 65         | 67         | 4        | 6        | +2           | FAIL
67     | 71         | 71         | 4        | 4        | 0            | PASS
71     | 73         | 73         | 2        | 2        | 0            | PASS
73     | 77         | 79         | 4        | 6        | +2           | FAIL
79     | 83         | 83         | 4        | 4        | 0            | PASS
83     | 85         | 89         | 2        | 6        | +4           | FAIL
89     | 91         | 97         | 2        | 8        | +6           | FAIL
97     | 101        | 101        | 4        | 4        | 0            | PASS
101    | 103        | 103        | 2        | 2        | 0            | PASS
103    | 107        | 107        | 4        | 4        | 0            | PASS
107    | 109        | 109        | 2        | 2        | 0            | PASS
109    | 113        | 113        | 4        | 4        | 0            | PASS
113    | 115        | 127        | 2        | 14       | +12          | FAIL
127    | 131        | 131        | 4        | 4        | 0            | PASS
131    | 133        | 137        | 2        | 6        | +4           | FAIL
137    | 139        | 139        | 2        | 2        | 0            | PASS
139    | 143        | 149        | 4        | 10       | +6           | FAIL
149    | 151        | 151        | 2        | 2        | 0            | PASS
151    | 155        | 157        | 4        | 6        | +2           | FAIL
157    | 161        | 163        | 4        | 6        | +2           | FAIL
163    | 167        | 167        | 4        | 4        | 0            | PASS
167    | 169        | 173        | 2        | 6        | +4           | FAIL
173    | 175        | 179        | 2        | 6        | +4           | FAIL
179    | 181        | 181        | 2        | 2        | 0            | PASS
181    | 185        | 191        | 4        | 10       | +6           | FAIL
191    | 193        | 193        | 2        | 2        | 0            | PASS
193    | 197        | 197        | 4        | 4        | 0            | PASS
197    | 199        | 199        | 2        | 2        | 0            | PASS
199    | 203        | 211        | 4        | 12       | +8           | FAIL
211    | 215        | 223        | 4        | 12       | +8           | FAIL
223    | 227        | 227        | 4        | 4        | 0            | PASS
227    | 229        | 229        | 2        | 2        | 0            | PASS
229    | 233        | 233        | 4        | 4        | 0            | PASS
233    | 235        | 239        | 2        | 6        | +4           | FAIL
239    | 241        | 241        | 2        | 2        | 0            | PASS
241    | 245        | 251        | 4        | 10       | +6           | FAIL
251    | 253        | 257        | 2        | 6        | +4           | FAIL
257    | 259        | 263        | 2        | 6        | +4           | FAIL
263    | 265        | 269        | 2        | 6        | +4           | FAIL
269    | 271        | 271        | 2        | 2        | 0            | PASS
271    | 275        | 277        | 4        | 6        | +2           | FAIL
277    | 281        | 281        | 4        | 4        | 0            | PASS
281    | 283        | 283        | 2        | 2        | 0            | PASS
283    | 287        | 293        | 4        | 10       | +6           | FAIL
293    | 295        | 307        | 2        | 14       | +12          | FAIL
307    | 311        | 311        | 4        | 4        | 0            | PASS
311    | 313        | 313        | 2        | 2        | 0            | PASS
313    | 317        | 317        | 4        | 4        | 0            | PASS
317    | 319        | 331        | 2        | 14       | +12          | FAIL
331    | 335        | 337        | 4        | 6        | +2           | FAIL
337    | 341        | 347        | 4        | 10       | +6           | FAIL
347    | 349        | 349        | 2        | 2        | 0            | PASS
349    | 353        | 353        | 4        | 4        | 0            | PASS
353    | 355        | 359        | 2        | 6        | +4           | FAIL
359    | 361        | 367        | 2        | 8        | +6           | FAIL
367    | 371        | 373        | 4        | 6        | +2           | FAIL
373    | 377        | 379        | 4        | 6        | +2           | FAIL
379    | 383        | 383        | 4        | 4        | 0            | PASS
383    | 385        | 389        | 2        | 6        | +4           | FAIL
389    | 391        | 397        | 2        | 8        | +6           | FAIL
397    | 401        | 401        | 4        | 4        | 0            | PASS
401    | 403        | 409        | 2        | 8        | +6           | FAIL
409    | 413        | 419        | 4        | 10       | +6           | FAIL
419    | 421        | 421        | 2        | 2        | 0            | PASS
421    | 425        | 431        | 4        | 10       | +6           | FAIL
431    | 433        | 433        | 2        | 2        | 0            | PASS
433    | 437        | 439        | 4        | 6        | +2           | FAIL
439    | 443        | 443        | 4        | 4        | 0            | PASS
443    | 445        | 449        | 2        | 6        | +4           | FAIL
449    | 451        | 457        | 2        | 8        | +6           | FAIL
457    | 461        | 461        | 4        | 4        | 0            | PASS
461    | 463        | 463        | 2        | 2        | 0            | PASS
463    | 467        | 467        | 4        | 4        | 0            | PASS
467    | 469        | 479        | 2        | 12       | +10          | FAIL
479    | 481        | 487        | 2        | 8        | +6           | FAIL
487    | 491        | 491        | 4        | 4        | 0            | PASS
491    | 493        | 499        | 2        | 8        | +6           | FAIL
499    | 503        | 503        | 4        | 4        | 0            | PASS
